2012-03-30T22:34:30 name	value	pct	last_value	last_pct
2012-03-30T22:34:30 Com_set_option	19804842	42.58%	0	0.00%
2012-03-30T22:34:30 Com_insert	6595520	14.18%	0	0.00%
2012-03-30T22:34:30 Com_change_db	6595500	14.18%	0	0.00%
2012-03-30T22:34:30 Com_commit	6595500	14.18%	0	0.00%
2012-03-30T22:34:30 Com_rollback	6595500	14.18%	0	0.00%
2012-03-30T22:34:30 Com_begin	290952	0.63%	0	0.00%
2012-03-30T22:34:30 Com_select	31036	0.07%	0	0.00%
2012-03-30T22:34:30 Com_show_variables	356	0.00%	0	0.00%
2012-03-30T22:34:30 Com_show_collations	321	0.00%	0	0.00%
2012-03-30T22:34:30 Com_create_table	179	0.00%	0	0.00%
2012-03-30T22:34:30 Com_show_slave_status	72	0.00%	0	0.00%
2012-03-30T22:34:30 Com_show_engine_status	52	0.00%	0	0.00%
2012-03-30T22:34:30 Com_show_status	34	0.00%	0	0.00%
2012-03-30T22:34:30 Com_show_processlist	33	0.00%	0	0.00%
2012-03-30T22:34:30 Com_create_db	22	0.00%	0	0.00%
2012-03-30T22:34:30 Com_admin_commands	17	0.00%	0	0.00%
2012-03-30T22:34:30 Com_slave_stop	12	0.00%	0	0.00%
2012-03-30T22:34:30 Com_drop_db	10	0.00%	0	0.00%
2012-03-30T22:34:30 Com_slave_start	7	0.00%	0	0.00%
2012-03-30T22:34:30 Com_show_databases	5	0.00%	0	0.00%
2012-03-30T22:34:30 Com_reset	4	0.00%	0	0.00%
2012-03-30T22:34:30 Com_change_master	2	0.00%	0	0.00%
2012-03-30T22:34:30 Com_show_binlog_events	2	0.00%	0	0.00%
2012-03-30T22:34:30 Com_show_binlogs	2	0.00%	0	0.00%
2012-03-30T22:34:30 Com_show_fields	1	0.00%	0	0.00%
2012-03-30T22:34:30 Com_alter_db_upgrade	0	0.00%	0	0.00%
2012-03-30T22:34:30 Com_alter_db	0	0.00%	0	0.00%
2012-03-30T22:34:30 Com_alter_event	0	0.00%	0	0.00%
2012-03-30T22:34:30 Com_alter_function	0	0.00%	0	0.00%
2012-03-30T22:34:30 Com_alter_procedure	0	0.00%	0	0.00%
2012-03-30T22:34:30 Com_alter_server	0	0.00%	0	0.00%
2012-03-30T22:34:30 Com_alter_tablespace	0	0.00%	0	0.00%
2012-03-30T22:34:30 Com_alter_table	0	0.00%	0	0.00%
2012-03-30T22:34:30 Com_analyze	0	0.00%	0	0.00%
2012-03-30T22:34:30 Com_assign_to_keycache	0	0.00%	0	0.00%
2012-03-30T22:34:30 Com_binlog	0	0.00%	0	0.00%
2012-03-30T22:34:30 Com_call_procedure	0	0.00%	0	0.00%
2012-03-30T22:34:30 Com_checksum	0	0.00%	0	0.00%
2012-03-30T22:34:30 Com_check	0	0.00%	0	0.00%
2012-03-30T22:34:30 Com_create_event	0	0.00%	0	0.00%
2012-03-30T22:34:30 Com_create_function	0	0.00%	0	0.00%
2012-03-30T22:34:30 Com_create_index	0	0.00%	0	0.00%
2012-03-30T22:34:30 Com_create_procedure	0	0.00%	0	0.00%
2012-03-30T22:34:30 Com_create_server	0	0.00%	0	0.00%
2012-03-30T22:34:30 Com_create_trigger	0	0.00%	0	0.00%
2012-03-30T22:34:30 Com_create_udf	0	0.00%	0	0.00%
2012-03-30T22:34:30 Com_create_user	0	0.00%	0	0.00%
2012-03-30T22:34:30 Com_create_view	0	0.00%	0	0.00%
2012-03-30T22:34:30 Com_dealloc_sql	0	0.00%	0	0.00%
2012-03-30T22:34:30 Com_delete_multi	0	0.00%	0	0.00%
2012-03-30T22:34:30 Com_delete	0	0.00%	0	0.00%
2012-03-30T22:34:30 Com_do	0	0.00%	0	0.00%
2012-03-30T22:34:30 Com_drop_event	0	0.00%	0	0.00%
2012-03-30T22:34:30 Com_drop_function	0	0.00%	0	0.00%
2012-03-30T22:34:30 Com_drop_index	0	0.00%	0	0.00%
2012-03-30T22:34:30 Com_drop_procedure	0	0.00%	0	0.00%
2012-03-30T22:34:30 Com_drop_server	0	0.00%	0	0.00%
2012-03-30T22:34:30 Com_drop_table	0	0.00%	0	0.00%
2012-03-30T22:34:30 Com_drop_trigger	0	0.00%	0	0.00%
2012-03-30T22:34:30 Com_drop_user	0	0.00%	0	0.00%
2012-03-30T22:34:30 Com_drop_view	0	0.00%	0	0.00%
2012-03-30T22:34:30 Com_empty_query	0	0.00%	0	0.00%
2012-03-30T22:34:30 Com_execute_sql	0	0.00%	0	0.00%
2012-03-30T22:34:30 Com_flush	0	0.00%	0	0.00%
2012-03-30T22:34:30 Com_grant	0	0.00%	0	0.00%
2012-03-30T22:34:30 Com_ha_close	0	0.00%	0	0.00%
2012-03-30T22:34:30 Com_ha_open	0	0.00%	0	0.00%
2012-03-30T22:34:30 Com_ha_read	0	0.00%	0	0.00%
2012-03-30T22:34:30 Com_help	0	0.00%	0	0.00%
2012-03-30T22:34:30 Com_insert_select	0	0.00%	0	0.00%
2012-03-30T22:34:30 Com_install_plugin	0	0.00%	0	0.00%
2012-03-30T22:34:30 Com_kill	0	0.00%	0	0.00%
2012-03-30T22:34:30 Com_load	0	0.00%	0	0.00%
2012-03-30T22:34:30 Com_lock_tables	0	0.00%	0	0.00%
2012-03-30T22:34:30 Com_optimize	0	0.00%	0	0.00%
2012-03-30T22:34:30 Com_preload_keys	0	0.00%	0	0.00%
2012-03-30T22:34:30 Com_prepare_sql	0	0.00%	0	0.00%
2012-03-30T22:34:30 Com_purge_before_date	0	0.00%	0	0.00%
2012-03-30T22:34:30 Com_purge	0	0.00%	0	0.00%
2012-03-30T22:34:30 Com_release_savepoint	0	0.00%	0	0.00%
2012-03-30T22:34:30 Com_rename_table	0	0.00%	0	0.00%
2012-03-30T22:34:30 Com_rename_user	0	0.00%	0	0.00%
2012-03-30T22:34:30 Com_repair	0	0.00%	0	0.00%
2012-03-30T22:34:30 Com_replace_select	0	0.00%	0	0.00%
2012-03-30T22:34:30 Com_replace	0	0.00%	0	0.00%
2012-03-30T22:34:30 Com_resignal	0	0.00%	0	0.00%
2012-03-30T22:34:30 Com_revoke_all	0	0.00%	0	0.00%
2012-03-30T22:34:30 Com_revoke	0	0.00%	0	0.00%
2012-03-30T22:34:30 Com_rollback_to_savepoint	0	0.00%	0	0.00%
2012-03-30T22:34:30 Com_savepoint	0	0.00%	0	0.00%
2012-03-30T22:34:30 Com_show_authors	0	0.00%	0	0.00%
