2012-03-30T22:34:30 cmd	mysql_thread_id	state	user	hostname	db	time	info
2012-03-30T22:34:34 Query	318	freeing items	espresso	localhost	es_ucp_1	00:00	USE `es_ucp_1`
2012-03-30T22:34:36 Query	367	Writing to net	espresso	localhost	es_ucp_0	00:00	USE `es_ucp_0`
2012-03-30T22:34:38 Query	211	update	espresso	localhost	es_ucp_1	00:00	INSERT INTO `ActivityEvent` (`id`,etag, timestamp, val, schema_version) VALUES('413171694','689198529',1333146878895,_binary[BINARY],1) ON DUPLICATE KEY UPDATE etag= '689198529', timestamp = 1333146878895, val = _binary[BINARY], schema_version = 1
2012-03-30T22:34:38 Query	226	update	espresso	localhost	es_ucp_1	00:00	INSERT INTO `ActivityEvent` (`id`,etag, timestamp, val, schema_version) VALUES('413171881','1775669359',1333146878933,_binary[BINARY],1) ON DUPLICATE KEY UPDATE etag= '1775669359', timestamp = 1333146878933, val = _binary[BINARY], schema_version = 1
2012-03-30T22:34:38 Query	228	update	espresso	localhost	es_ucp_1	00:00	INSERT INTO `ActivityEvent` (`id`,etag, timestamp, val, schema_version) VALUES('413171687','3629787957',1333146878894,_binary[BINARY],1) ON DUPLICATE KEY UPDATE etag= '3629787957', timestamp = 1333146878894, val = _binary[BINARY], schema_version = 1
2012-03-30T22:34:38 Query	245		espresso	localhost	es_ucp_3	00:00	commit
2012-03-30T22:34:38 Query	258	update	espresso	localhost	es_ucp_1	00:00	INSERT INTO `ActivityEvent` (`id`,etag, timestamp, val, schema_version) VALUES('413171908','2198168518',1333146878938,_binary[BINARY],1) ON DUPLICATE KEY UPDATE etag= '2198168518', timestamp = 1333146878938, val = _binary[BINARY], schema_version = 1
2012-03-30T22:34:38 Query	283		espresso	localhost	es_ucp_0	00:00	commit
2012-03-30T22:34:38 Query	295	update	espresso	localhost	es_ucp_1	00:00	INSERT INTO `ActivityEvent` (`id`,etag, timestamp, val, schema_version) VALUES('413171816','4172398674',1333146878920,_binary[BINARY],1) ON DUPLICATE KEY UPDATE etag= '4172398674', timestamp = 1333146878920, val = _binary[BINARY], schema_version = 1
2012-03-30T22:34:38 Query	300	update	espresso	localhost	es_ucp_1	00:00	INSERT INTO `ActivityEvent` (`id`,etag, timestamp, val, schema_version) VALUES('413171896','2552569008',1333146878936,_binary[BINARY],1) ON DUPLICATE KEY UPDATE etag= '2552569008', timestamp = 1333146878936, val = _binary[BINARY], schema_version = 1
