Linux 2.6.32-358.6.2.el6.x86_64 (lva1-app1774.prod) 	11/09/2014 	_x86_64_	(24 CPU)

09:36:28 AM     CPU       MHz
09:36:29 AM     all   2501.00
09:36:29 AM       0   2501.00
09:36:29 AM       1   2501.00
09:36:29 AM       2   2501.00
09:36:29 AM       3   2501.00
09:36:29 AM       4   2501.00
09:36:29 AM       5   2501.00
09:36:29 AM       6   2501.00
09:36:29 AM       7   2501.00
09:36:29 AM       8   2501.00
09:36:29 AM       9   2501.00
09:36:29 AM      10   2501.00
09:36:29 AM      11   2501.00
09:36:29 AM      12   2501.00
09:36:29 AM      13   2501.00
09:36:29 AM      14   2501.00
09:36:29 AM      15   2501.00
09:36:29 AM      16   2501.00
09:36:29 AM      17   2501.00
09:36:29 AM      18   2501.00
09:36:29 AM      19   2501.00
09:36:29 AM      20   2501.00
09:36:29 AM      21   2501.00
09:36:29 AM      22   2501.00
09:36:29 AM      23   2501.00

09:36:29 AM     CPU       MHz
09:36:30 AM     all   2501.00
09:36:30 AM       0   2501.00
09:36:30 AM       1   2501.00
09:36:30 AM       2   2501.00
09:36:30 AM       3   2501.00
09:36:30 AM       4   2501.00
09:36:30 AM       5   2501.00
09:36:30 AM       6   2501.00
09:36:30 AM       7   2501.00
09:36:30 AM       8   2501.00
09:36:30 AM       9   2501.00
09:36:30 AM      10   2501.00
09:36:30 AM      11   2501.00
09:36:30 AM      12   2501.00
09:36:30 AM      13   2501.00
09:36:30 AM      14   2501.00
09:36:30 AM      15   2501.00
09:36:30 AM      16   2501.00
09:36:30 AM      17   2501.00
09:36:30 AM      18   2501.00
09:36:30 AM      19   2501.00
09:36:30 AM      20   2501.00
09:36:30 AM      21   2501.00
09:36:30 AM      22   2501.00
09:36:30 AM      23   2501.00

09:36:30 AM     CPU       MHz
09:36:31 AM     all   2501.00
09:36:31 AM       0   2501.00
09:36:31 AM       1   2501.00
09:36:31 AM       2   2501.00
09:36:31 AM       3   2501.00
09:36:31 AM       4   2501.00
09:36:31 AM       5   2501.00
09:36:31 AM       6   2501.00
09:36:31 AM       7   2501.00
09:36:31 AM       8   2501.00
09:36:31 AM       9   2501.00
09:36:31 AM      10   2501.00
09:36:31 AM      11   2501.00
09:36:31 AM      12   2501.00
09:36:31 AM      13   2501.00
09:36:31 AM      14   2501.00
09:36:31 AM      15   2501.00
09:36:31 AM      16   2501.00
09:36:31 AM      17   2501.00
09:36:31 AM      18   2501.00
09:36:31 AM      19   2501.00
09:36:31 AM      20   2501.00
09:36:31 AM      21   2501.00
09:36:31 AM      22   2501.00
09:36:31 AM      23   2501.00

