Linux 2.6.32-358.6.2.el6.x86_64 (lva1-app1774.prod) 	11/09/2014 	_x86_64_	(24 CPU)

09:36:28 AM     CPU      %usr     %nice      %sys   %iowait    %steal      %irq     %soft    %guest     %idle
09:36:29 AM     all      9.30      0.00      1.21      2.35      0.00      0.00      0.13      0.00     87.02
09:36:29 AM       0     16.33      0.00      2.04      3.06      0.00      0.00      0.00      0.00     78.57
09:36:29 AM       1     12.12      0.00      2.02     15.15      0.00      0.00      0.00      0.00     70.71
09:36:29 AM       2      7.00      0.00      2.00     14.00      0.00      0.00      0.00      0.00     77.00
09:36:29 AM       3      7.00      0.00      1.00      0.00      0.00      0.00      0.00      0.00     92.00
09:36:29 AM       4     53.00      0.00      1.00      0.00      0.00      0.00      1.00      0.00     45.00
09:36:29 AM       5     15.15      0.00      1.01      0.00      0.00      0.00      0.00      0.00     83.84
09:36:29 AM       6      5.00      0.00      1.00      0.00      0.00      0.00      0.00      0.00     94.00
09:36:29 AM       7      6.06      0.00      1.01      8.08      0.00      0.00      0.00      0.00     84.85
09:36:29 AM       8      5.00      0.00      2.00      0.00      0.00      0.00      0.00      0.00     93.00
09:36:29 AM       9      4.00      0.00      1.00      0.00      0.00      0.00      0.00      0.00     95.00
09:36:29 AM      10      3.96      0.00      0.99      0.00      0.00      0.00      0.00      0.00     95.05
09:36:29 AM      11      3.03      0.00      1.01      1.01      0.00      0.00      0.00      0.00     94.95
09:36:29 AM      12     14.14      0.00      1.01      0.00      0.00      0.00      1.01      0.00     83.84
09:36:29 AM      13      8.00      0.00      3.00      1.00      0.00      0.00      0.00      0.00     88.00
09:36:29 AM      14      5.05      0.00      2.02      2.02      0.00      0.00      0.00      0.00     90.91
09:36:29 AM      15      6.06      0.00      2.02      0.00      0.00      0.00      0.00      0.00     91.92
09:36:29 AM      16      1.00      0.00      1.00      0.00      0.00      0.00      0.00      0.00     98.00
09:36:29 AM      17     29.29      0.00      1.01      0.00      0.00      0.00      0.00      0.00     69.70
