Linux 2.6.32 (machine1) 	02/23/2012 	_x86_64_	(24 CPU)

09:29:18 PM    proc/s   cswch/s
09:29:20 PM     18.50   2265.50
09:29:22 PM      5.50   2064.50
09:29:24 PM      0.50    733.33
09:29:26 PM      0.00    559.80
09:29:28 PM      0.50    546.77
09:29:30 PM      0.00    541.21
09:29:32 PM      0.50    728.00
09:29:34 PM      0.00    534.33
09:29:36 PM      0.00    593.00
09:29:38 PM      0.00    674.87
09:29:40 PM      0.00    901.49
09:29:42 PM      0.00    942.71
09:29:44 PM      0.50   1922.39
09:29:46 PM      0.00   4838.92
09:29:48 PM      0.00   2851.98
09:29:50 PM      0.00    876.50
09:29:52 PM      0.00    506.47
09:29:54 PM      0.00   3966.34
09:29:56 PM      0.50  22773.50
09:29:58 PM      0.00  13697.01
09:30:00 PM      0.00   5407.32
09:30:02 PM     16.00   1363.00
09:30:04 PM      0.00    766.67
09:30:06 PM      0.00    501.51
09:30:08 PM      0.00    531.34
09:30:10 PM      0.50    550.75
09:30:12 PM      0.00    494.53
09:30:14 PM      0.00    555.72
09:30:16 PM    288.00   3501.50
09:30:18 PM      0.00    509.95
09:30:20 PM      0.00    496.52
09:30:22 PM      0.00    517.09
09:30:24 PM      0.00    536.82
09:30:26 PM      0.00    536.00
09:30:28 PM      0.00    565.17
09:30:30 PM      0.00    581.00
09:30:32 PM      0.50    588.06
09:30:34 PM      0.50    579.90
09:30:36 PM      0.00    492.54
09:30:38 PM      0.00    569.85
09:30:40 PM      0.00    613.37
09:30:42 PM      0.00    527.14
09:30:44 PM      0.00    497.00
09:30:46 PM      0.00    529.00
09:30:48 PM      0.00    505.50
09:30:50 PM      0.00    524.50
09:30:52 PM      0.00    698.99
09:30:54 PM      0.00    636.82
09:30:56 PM      0.00    507.00
09:30:58 PM      0.00    553.00
09:31:00 PM      0.50    598.50
09:31:02 PM      0.00    548.24
09:31:04 PM      0.00    543.28
09:31:06 PM      0.00    509.95
09:31:08 PM      0.00    522.11
09:31:10 PM      0.50    635.50
09:31:12 PM      0.00    486.50
09:31:14 PM      0.00    547.50
09:31:16 PM    117.91   1736.82
09:31:18 PM    170.35   2248.24
09:31:20 PM      0.00    490.55
09:31:22 PM      0.00    580.00
09:31:24 PM      0.00    504.52
09:31:26 PM      0.50    527.86
09:31:28 PM      0.00    545.27
09:31:30 PM      0.00    544.50
09:31:32 PM      0.50    546.00
09:31:34 PM      0.00    535.50
09:31:36 PM      0.00    501.00
09:31:38 PM      0.00    546.23
09:31:40 PM      0.00    526.00
09:31:42 PM      0.00    491.50
09:31:44 PM      0.00    640.72
09:31:46 PM      0.00    504.00
09:31:48 PM      0.50    514.50
09:31:50 PM      0.00    539.50
09:31:52 PM      0.00    497.50
09:31:54 PM      0.00    521.50
09:31:56 PM      0.00    523.38
09:31:58 PM      0.00    521.61
09:32:00 PM      0.00    529.50
09:32:02 PM      0.00    550.00
09:32:04 PM      0.00    542.50
09:32:06 PM      0.00    541.50
09:32:08 PM      0.00    616.00
09:32:10 PM      0.00    535.50
09:32:12 PM      0.00    592.00
09:32:14 PM      0.50    666.00
09:32:16 PM      0.00    519.90
09:32:18 PM    289.45   3636.18
09:32:20 PM      0.00    562.89
09:32:22 PM      0.00    521.00
09:32:24 PM      0.00    524.27
09:32:26 PM      0.50    593.00
09:32:28 PM      0.00    593.03
09:32:30 PM      0.00    550.75
09:32:32 PM      0.50    638.00
09:32:34 PM      0.00    614.50
09:32:36 PM      0.00    535.00
09:32:38 PM      0.00    583.50
09:32:40 PM      0.50    574.13
09:32:42 PM      0.00    526.50
09:32:44 PM      0.50    650.25
09:32:46 PM      0.00    538.00
09:32:48 PM      0.00    511.50
09:32:50 PM      0.00    551.76
09:32:52 PM      0.00    509.74
09:32:54 PM      0.00   8850.75
09:32:56 PM      0.00    520.00
09:32:58 PM      0.00    498.50
09:33:00 PM      0.00    508.00
09:33:02 PM      0.00    556.00
09:33:04 PM      0.50    510.95
09:33:06 PM      0.00    489.00
09:33:08 PM      0.00    531.00
09:33:10 PM      0.00    494.47
09:33:12 PM      0.00    614.01
09:33:14 PM      0.00    950.51
09:33:16 PM      0.00    485.00
09:33:18 PM    290.91   3633.84
09:33:20 PM      0.00    509.50
09:33:22 PM      0.00    503.00
09:33:24 PM      0.00    528.00
09:33:26 PM      0.00    523.50
09:33:28 PM      0.00    518.50
09:33:30 PM      0.49    512.14
09:33:32 PM      0.52    530.41
09:33:34 PM      0.00    512.00
09:33:36 PM      0.00    613.59
09:33:38 PM      0.00  29999.50
09:33:40 PM      0.50   1663.00
09:33:42 PM      0.00   1601.00
09:33:44 PM      0.00   1610.50
09:33:46 PM      0.00    617.50
09:33:48 PM      0.00    530.50
09:33:50 PM      0.00    519.50
09:33:52 PM      0.00    485.50
09:33:54 PM      0.00    535.68
09:33:56 PM      0.50    499.00
09:33:58 PM      0.00    517.41
09:34:00 PM      0.00    509.05
09:34:02 PM      0.00  43351.21
09:34:04 PM      0.00   1622.50
09:34:06 PM      0.00   1583.50
09:34:08 PM      0.00   1617.50
09:34:10 PM      0.00   1082.50
09:34:12 PM      0.00    482.00
09:34:14 PM      0.00    554.00
09:34:16 PM      0.00    510.50
09:34:18 PM    205.03   2565.33
09:34:20 PM     84.08   1354.23
09:34:22 PM      0.00    522.50
09:34:24 PM      0.00    525.50
