Linux 2.6.32 (machine1) 	02/23/2012 	_x86_64_	(24 CPU)

09:29:18 PM   frmpg/s   bufpg/s   campg/s
09:29:20 PM  -1379.50     69.00 -13747.50
09:29:22 PM   -311.00     44.50 -12618.50
09:29:24 PM   1057.00      1.50  -6196.50
09:29:26 PM    264.50     -0.50   -398.50
09:29:28 PM  64617.91     -6.97 -70561.69
09:29:30 PM  48084.92    -12.06 -67088.94
09:29:32 PM 102601.50    -23.00 -133463.50
09:29:34 PM  51055.72    -10.45 -66235.82
09:29:36 PM  92689.95    -11.56 -107795.48
09:29:38 PM  36469.35     -7.04 -46108.54
09:29:40 PM   -511.88      0.99     14.36
09:29:42 PM    -12.56      1.01     14.57
09:29:44 PM  52165.82    -13.27 -56035.20
09:29:46 PM  55709.41    -10.40 -64951.98
09:29:48 PM  42823.56     -8.65 -56883.17
09:29:50 PM  11915.00     -2.00 -15878.00
09:29:52 PM  53727.86    -10.45 -57767.66
09:29:54 PM  96781.00      2.00 -111340.50
09:29:56 PM 115371.00    -25.00 -128921.50
09:29:58 PM  91040.59    -18.32 -108101.49
09:30:00 PM 102168.29    -22.44 -126083.90
09:30:02 PM  14414.43     27.36 -21418.41
09:30:04 PM   5144.22     -3.02  -5164.82
09:30:06 PM      0.00      0.00      7.96
09:30:08 PM  66106.15    -16.92 -89486.15
09:30:10 PM 147406.00    -34.00 -168618.50
09:30:12 PM  84798.00    -26.00 -108781.50
09:30:14 PM 105262.19    -24.38 -130691.04
09:30:16 PM  79936.82    -23.88 -114670.15
09:30:18 PM  45563.00    -17.00 -59504.50
09:30:20 PM   -194.53      0.00     15.92
09:30:22 PM    -30.00      1.00     14.50
09:30:24 PM  97449.27    -53.17 -140766.34
09:30:26 PM  83941.54    -45.13 -136201.54
09:30:28 PM  45490.05    -48.76 -74979.60
09:30:30 PM  97401.99   -281.09 -138982.09
09:30:32 PM  77111.27  -1044.12 -122880.88
09:30:34 PM    -46.43      1.02     29.08
09:30:36 PM      2.00      0.00      1.00
09:30:38 PM    -15.50      0.00     15.00
09:30:40 PM -188716.42  -1595.52 -71721.39
09:30:42 PM -45626.50    -32.50 -11972.00
09:30:44 PM    -15.58      0.00     14.57
09:30:46 PM    -42.79      1.00     27.86
09:30:48 PM     12.06      0.00      0.50
09:30:50 PM    -46.50      0.00     14.50
09:30:52 PM -232956.50   -267.00 -79850.50
09:30:54 PM -113447.26   -129.35 -37851.24
09:30:56 PM      3.52      0.00     15.08
09:30:58 PM    -61.69      1.49     27.86
09:31:00 PM     45.59      0.00      0.49
09:31:02 PM    -31.79      1.03     14.36
09:31:04 PM    -28.86      1.00     28.86
09:31:06 PM    -93.00      0.00      0.50
09:31:08 PM    -62.00      0.00     14.00
09:31:10 PM -122371.00    -93.00 -27349.50
09:31:12 PM -25547.74     -0.50  -3375.88
09:31:14 PM -60518.41     -1.49  -7208.96
09:31:16 PM -50620.39      0.97  -3237.86
09:31:18 PM -31981.96     -0.52  -3415.46
09:31:20 PM -34439.50      0.00     14.00
09:31:22 PM -24037.00      1.00  -3134.50
09:31:24 PM  -9207.80     -1.95  -9219.02
09:31:26 PM -30413.33      0.00     35.38
09:31:28 PM -24866.00      2.00     29.50
09:31:30 PM    -15.35      0.00      0.50
09:31:32 PM   -307.04      0.00   -282.91
09:31:34 PM   8900.49     -2.44  -8677.07
09:31:36 PM     39.80      0.00    -31.12
09:31:38 PM    -30.85      1.00     13.43
09:31:40 PM  15496.57    -11.27 -27332.84
09:31:42 PM  25692.50     -8.00 -34252.50
09:31:44 PM  38738.14    -11.34 -50736.08
09:31:46 PM  34301.00    -12.50 -46641.50
09:31:48 PM  28475.00    -12.50 -43003.00
09:31:50 PM  41597.00    -16.00 -48318.50
09:31:52 PM  24660.00    -11.00 -33905.50
09:31:54 PM  29785.50    -20.00 -38169.00
09:31:56 PM  33434.33    -24.88 -42226.87
09:31:58 PM  20704.52     -9.05 -26615.08
09:32:00 PM  37840.00   -127.00 -44218.50
09:32:02 PM  23164.00    -19.50 -34092.00
09:32:04 PM  32835.00    -20.50 -41555.00
09:32:06 PM  36513.00    -13.00 -40064.50
09:32:08 PM  60554.00    -55.00 -66408.00
09:32:10 PM  63734.50    -50.50 -69011.50
09:32:12 PM  98981.00    -65.00 -106920.50
09:32:14 PM  81928.00    -59.00 -89997.00
09:32:16 PM   9686.89     -4.85 -12932.52
09:32:18 PM  28927.64    -23.62 -33188.94
09:32:20 PM  17148.97    -12.37 -20475.26
09:32:22 PM  21885.50      1.00 -24013.00
09:32:24 PM  27385.92    -22.82 -30276.21
09:32:26 PM  27930.50    -19.50 -29460.50
09:32:28 PM  54034.50    -57.50 -56609.50
09:32:30 PM  22155.00    -19.00 -22762.50
09:32:32 PM  58425.50    -38.00 -55195.50
09:32:34 PM  40910.50    -56.00 -66713.00
09:32:36 PM  -3230.50     -1.50   -525.00
09:32:38 PM  -3325.00     -2.50   -913.50
09:32:40 PM -13190.05     -7.46  -5124.88
09:32:42 PM  -4252.50     -1.00  -1250.00
09:32:44 PM -46330.00     -8.00 -12250.00
09:32:46 PM  -1185.00      0.00    -54.50
09:32:48 PM  -2375.50      0.00    -90.00
09:32:50 PM -55501.00     -2.00  -5667.50
09:32:52 PM  -2305.13      0.00     14.87
09:32:54 PM -20753.77     -4.02  -3016.08
09:32:56 PM   -123.00      1.00     39.50
09:32:58 PM    -10.00      0.00     15.50
09:33:00 PM     46.50      0.00     20.00
09:33:02 PM     67.50      1.00     70.00
09:33:04 PM     30.85      0.00     40.30
09:33:06 PM     62.00      0.00     14.50
09:33:08 PM     31.00      2.00     12.00
09:33:10 PM      0.00      0.00     16.58
09:33:12 PM    -50.72      0.00     14.49
09:33:14 PM  -1138.78      4.59     17.35
09:33:16 PM      0.00      0.00     26.00
09:33:18 PM   -812.12      0.00    209.09
09:33:20 PM    -53.00      1.00     16.50
09:33:22 PM     27.00      0.50     23.00
09:33:24 PM     15.00      1.00     32.50
09:33:26 PM     47.00      0.00     14.00
09:33:28 PM     14.50      1.00     14.50
09:33:30 PM -26849.03      0.97     14.56
09:33:32 PM     30.41      0.00     30.41
09:33:34 PM     16.00      0.00     16.50
09:33:36 PM     25.85      0.98     15.12
09:33:38 PM   -123.38      0.00      1.49
09:33:40 PM     33.00      0.50     14.50
09:33:42 PM      5.15      1.03     14.43
09:33:44 PM    -15.50      0.00     14.50
09:33:46 PM     -2.50      0.00     15.00
09:33:48 PM     15.27      0.99     27.59
09:33:50 PM    -15.50      0.00      0.50
09:33:52 PM      2.99      0.00     14.43
09:33:54 PM    -46.50      1.00     14.00
09:33:56 PM    -48.26      0.00     14.93
09:33:58 PM    -15.42      1.00     13.43
09:34:00 PM     16.92      0.00     15.38
09:34:02 PM    -43.87      0.00     13.68
09:34:04 PM    -15.98      1.03     13.40
09:34:06 PM    -63.68      0.00     43.78
09:34:08 PM     15.50      0.00     14.50
09:34:10 PM    -46.50      1.00     28.00
09:34:12 PM      0.00      0.00      0.50
09:34:14 PM    -31.00      1.00     14.50
09:34:16 PM    -42.79      1.00     28.86
09:34:18 PM   -319.61      0.00      0.98
09:34:20 PM   -192.78      0.00     14.95
09:34:22 PM     35.00      1.00     27.50
09:34:24 PM      4.00      0.00      1.00
09:34:26 PM    -27.14      0.00     28.64
09:34:28 PM      2.91      1.94     13.59
09:34:30 PM     48.50      0.00      0.50
09:34:32 PM     59.20      0.00     14.43
09:34:34 PM     10.45      1.00     27.86
09:34:36 PM    965.67      0.00   -202.49
09:34:38 PM    489.50      0.00   -151.50
09:34:40 PM   -168.50      1.00     92.00
09:34:42 PM    -29.50      0.00      1.00
09:34:44 PM    -15.50      0.00     14.00
09:34:46 PM   -842.71     53.27    694.47
09:34:48 PM -15289.66    143.35  11348.28
09:34:50 PM -64901.47    242.65  51622.55
09:34:52 PM -66221.78    305.94  69800.50
09:34:54 PM -54859.61    283.74  46458.13
09:34:56 PM -34320.40    276.12  19348.76
09:34:58 PM -117873.13    492.54 113764.18
09:35:00 PM -79780.49    421.95  75528.29
09:35:02 PM -66768.66    334.83  60472.14
09:35:04 PM   -354.23      4.98     34.33
09:35:06 PM    144.22      1.01     15.08
09:35:08 PM    589.05      1.00     14.43
09:35:10 PM    431.66      0.00     15.08
09:35:12 PM    395.50      1.00     25.50
09:35:14 PM    307.96      1.00     61.69
09:35:16 PM    391.50      0.00     14.50
09:35:18 PM    352.26      2.51     13.57
09:35:20 PM   -465.50      0.00     59.50
09:35:22 PM    203.98      0.00     15.92
09:35:24 PM    241.71      3.52     13.07
09:35:26 PM    160.50      0.00     17.00
09:35:28 PM     -1.98      0.99     13.37
09:35:30 PM    -15.58      0.00     22.61
09:35:32 PM    111.44      0.00     14.43
09:35:34 PM    -14.57      1.01     13.57
09:35:36 PM     38.00      0.00     15.00
09:35:38 PM    -15.50      0.00     14.50
09:35:40 PM     56.00      1.50     13.00
09:35:42 PM      0.00      0.00     15.58
09:35:44 PM     47.26      0.00     15.42
09:35:46 PM    -13.43      1.00     13.43
09:35:48 PM  12656.78     -6.53 -11720.10
09:35:50 PM   -232.50      1.00     14.50
09:35:52 PM    -15.50      1.00     13.00
09:35:54 PM    -77.89      0.50     15.58
09:35:56 PM    -15.42      0.00     14.93
09:35:58 PM   8671.36     -0.50  -8403.02
09:36:00 PM   -215.00      0.00     25.00
09:36:02 PM    -15.42      0.00     14.43
09:36:04 PM    -15.50      1.00     13.50
09:36:06 PM    -31.00      0.00     15.50
09:36:08 PM    -15.58      0.00     14.57
09:36:10 PM    -15.42      1.00     12.94
09:36:12 PM    -31.00      0.00     15.50
09:36:14 PM    -31.00      1.00     14.50
09:36:16 PM    -15.58      1.01     13.07
09:36:18 PM      0.00      0.00     15.50
09:36:20 PM  -1559.00      0.00     13.50
09:36:22 PM     35.00      1.00     14.00
09:36:24 PM     10.45      0.00     15.42
09:36:26 PM    107.50      0.00     14.50
09:36:28 PM     87.44      2.01     15.58
09:36:30 PM     34.83      0.00     14.43
09:36:32 PM    100.50      0.00     14.00
09:36:34 PM     63.32      2.01     14.07
09:36:36 PM     34.33      0.00     14.93
09:36:38 PM     53.77      1.01     13.57
09:36:40 PM     36.82      0.00     14.93
09:36:42 PM      6.50      0.00     14.50
09:36:44 PM     23.62      1.01     13.57
09:36:46 PM      0.00      0.00     15.50
09:36:48 PM     16.50      0.00     15.00
09:36:50 PM    -18.50      1.00     13.50
09:36:52 PM     17.41      0.00     14.93
09:36:54 PM    -46.50      0.00     14.50
09:36:56 PM      0.00      1.00     14.00
09:36:58 PM    -27.14      0.00     14.57
09:37:00 PM    -30.85      0.00     13.93
09:37:02 PM    -15.50      1.00     14.00
09:37:04 PM     15.58      0.50     14.57
09:37:06 PM      3.98      0.00      0.50
09:37:08 PM   9644.50      0.00  -8687.00
09:37:10 PM   -233.67      0.00      0.50
09:37:12 PM    -15.35      0.00     14.36
09:37:14 PM    -62.31      2.01     28.64
09:37:16 PM      0.00      0.00      0.50
09:37:18 PM   6308.50     -0.50  -6324.00
09:37:20 PM   -882.50      1.00     31.00
09:37:22 PM      7.50      0.00      0.00
09:37:24 PM    -14.50      0.00     14.00
09:37:26 PM    -31.00      1.00     28.50
09:37:28 PM   5406.00     -4.50  -5271.50
09:37:30 PM     16.50      0.00     14.00
09:37:32 PM     16.00      1.00     29.00
09:37:34 PM     46.73      0.00      0.50
09:37:36 PM      2.99      0.00     14.43
09:37:38 PM  10546.50      0.00  -9696.00
09:37:40 PM   -215.08      0.00      0.00
09:37:42 PM    -13.50      0.00     14.50
09:37:44 PM    -77.11      1.00     28.36
09:37:46 PM    -31.16      0.00      1.01
09:37:48 PM    -14.50      0.00     14.50
09:37:50 PM    -30.85      1.00     28.36
09:37:52 PM      0.00      0.00      0.00
09:37:54 PM    -46.04      0.00     14.85
09:37:56 PM    -31.16      1.01     28.64
09:37:58 PM      0.00      0.00      0.50
09:38:00 PM    -46.50      0.50     14.50
09:38:02 PM    -31.16      1.01     28.64
09:38:04 PM      0.50      0.00      0.00
09:38:06 PM    -15.50      0.00     14.50
09:38:08 PM    -46.73      1.01     28.64
09:38:10 PM    -46.27      0.00      0.00
09:38:12 PM    -15.58      0.00     14.57
09:38:14 PM    -30.85      1.99     28.36
09:38:16 PM    -15.50      0.00      0.50
09:38:18 PM    -15.50      0.00     14.50
09:38:20 PM   -401.50      1.00     28.50
09:38:22 PM   -422.11      0.00      0.50
09:38:24 PM      0.50      0.00     14.43
09:38:26 PM     40.00      1.00     14.00
09:38:28 PM    100.00      1.00     14.50
09:38:30 PM     16.92      0.00     14.43
09:38:32 PM     32.66      1.01     13.07
09:38:34 PM     17.50      0.00     15.50
09:38:36 PM     41.00      0.00     14.50
09:38:38 PM     49.50      1.00     14.50
09:38:40 PM     -8.04      0.00     15.08
09:38:42 PM     47.26      0.00     14.43
09:38:44 PM      4.50      1.00     13.50
09:38:46 PM    -23.50      0.00     15.00
09:38:48 PM   7560.50     -7.00  -6765.50
09:38:50 PM   -294.50      1.50     14.00
09:38:52 PM    -15.50      0.00     15.00
09:38:54 PM    -62.00      0.00     14.00
09:38:56 PM    -15.58      1.01     14.07
09:38:58 PM    -15.42      0.00     14.93
09:39:00 PM    -61.31      0.00     35.68
09:39:02 PM    -15.50      1.00     14.00
09:39:04 PM    -15.42      0.00     14.93
09:39:06 PM    -15.58      0.00     14.07
09:39:08 PM    -15.50      1.00     14.50
09:39:10 PM    -31.00      1.00     14.50
09:39:12 PM    -15.42      0.00     13.93
09:39:14 PM    -46.50      2.00     14.50
09:39:16 PM    -15.50      0.00     15.50
09:39:18 PM    -16.58      0.00     14.07
09:39:20 PM    -61.00      1.00     14.00
09:39:22 PM   -686.00      0.00     16.00
09:39:24 PM    -73.50      0.00     16.00
09:39:26 PM     35.50      1.00     14.50
09:39:28 PM     13.57      1.01     14.07
09:39:30 PM     48.26      0.00     14.43
09:39:32 PM     62.19      1.00     14.43
09:39:34 PM      0.50      0.00     14.07
09:39:36 PM     20.40      0.00     14.43
09:39:38 PM     31.16      1.01     13.57
09:39:40 PM    -12.50      0.50     15.00
09:39:42 PM     25.50      0.00     15.00
09:39:44 PM     19.00      1.00     14.00
09:39:46 PM    -30.00      0.00     14.50
09:39:48 PM      2.01      0.00     14.57
09:39:50 PM    -30.85      1.00     13.43
09:39:52 PM    -14.50      0.00     15.00
09:39:54 PM    -32.00      0.00     14.50
09:39:56 PM    -15.50      2.00     12.50
09:39:58 PM   3446.50     -0.50  -2727.00
09:40:00 PM   -242.21      0.00     15.08
09:40:02 PM   -370.15     17.91    145.77
09:40:04 PM    -31.00      0.00     31.50
09:40:06 PM      0.00      1.00     14.00
09:40:08 PM     -4.52      1.01     14.57
09:40:10 PM      1.00      0.00     14.43
09:40:12 PM    -15.50      0.00     20.00
09:40:14 PM    -46.73      2.01     15.08
09:40:16 PM    -15.50      0.00     14.50
09:40:18 PM      0.00      1.00     14.00
09:40:20 PM    -41.29      1.00     14.43
09:40:22 PM   -772.50      0.00     18.00
09:40:24 PM      8.00      1.00     10.50
09:40:26 PM     15.50      0.00     15.00
09:40:28 PM     56.50      1.00     15.00
09:40:30 PM     33.17      1.01     14.57
09:40:32 PM     12.94      0.00     13.93
09:40:34 PM     16.58      0.00     14.57
09:40:36 PM     34.83      1.00     13.93
09:40:38 PM     62.50      0.00     14.50
09:40:40 PM     16.08      0.00     14.57
09:40:42 PM     22.68      1.03     14.43
09:40:44 PM      0.00      0.00      0.49
09:40:46 PM     15.42      0.00     14.43
09:40:48 PM    -25.50      1.00     28.00
09:40:50 PM     16.06      1.04      0.52
09:40:52 PM    -30.85      0.00     14.43
09:40:54 PM    -45.37      0.98     27.32
09:40:56 PM      0.00      0.00      1.00
09:40:58 PM    -43.00      1.00     14.50
09:41:00 PM      0.00      0.00     14.29
09:41:02 PM     -3.00      0.00     15.00
09:41:04 PM     16.42      1.00     13.43
09:41:06 PM    -15.27      0.00     14.78
09:41:08 PM   6905.18     -0.52  -6894.30
09:41:10 PM    -30.10      0.97     27.18
09:41:12 PM      0.00      0.00      0.50
09:41:14 PM      0.00      1.00     14.43
09:41:16 PM    -31.00      1.00     28.00
09:41:18 PM  10097.40     -0.52  -9243.23
09:41:20 PM   -298.08      0.00     14.42
09:41:22 PM   -731.00      1.00     23.50
09:41:24 PM   -306.74      0.00      5.18
09:41:26 PM    -45.37      0.00     14.15
09:41:28 PM     31.84      1.99     13.93
09:41:30 PM     64.50      0.00     14.50
09:41:32 PM     59.50      0.00     14.50
09:41:34 PM     17.09      1.01     14.07
09:41:36 PM     57.21      0.00     14.43
09:41:38 PM     80.51      0.00     14.87
09:41:40 PM     -9.27      0.98     13.66
09:41:42 PM      8.00      0.00     15.00
09:41:44 PM     45.27      0.00     13.93
09:41:46 PM    -31.16      1.01     14.57
09:41:48 PM    -45.73      0.00     28.64
09:41:50 PM     30.69      0.50      0.00
09:41:52 PM      0.00      1.02     14.72
09:41:54 PM    -46.04      0.00     14.36
09:41:56 PM      7.46      0.00     13.93
09:41:58 PM      0.00      1.01     14.57
09:42:00 PM    -28.50      0.00     14.50
09:42:02 PM     13.00      0.00     15.00
09:42:04 PM      0.00      1.00     13.43
09:42:06 PM    -15.50      0.00     15.50
09:42:08 PM      0.00      0.00     14.00
09:42:10 PM    -31.31      1.01     14.14
09:42:12 PM    -46.04      0.00     14.85
09:42:14 PM    -16.15      1.04     15.10
09:42:16 PM     15.50      1.00     14.50
09:42:18 PM    -15.50      0.00     14.00
09:42:20 PM    -15.42      0.00     14.43
09:42:22 PM    -31.16      1.01     13.57
09:42:24 PM   -636.32      0.50     16.92
09:42:26 PM    -32.00      0.00     15.00
09:42:28 PM   5997.00      1.00  -5899.50
09:42:30 PM     63.32      0.00     14.07
09:42:32 PM     -1.49      0.00     28.36
09:42:34 PM      2.51      1.01     14.57
09:42:36 PM     60.20      0.00      0.50
09:42:38 PM   3939.20     -4.02  -3887.94
