Linux 2.6.32-131.4.1.el6.x86_64 (esv4-app133.stg) 	02/23/2012 	_x86_64_	(24 CPU)

09:29:18 PM  pgpgin/s pgpgout/s   fault/s  majflt/s  pgfree/s pgscank/s pgscand/s pgsteal/s    %vmeff
09:29:20 PM  10938.00      5.50   5078.00     81.50  18105.50      0.00  16481.50  16473.50     99.95
09:29:22 PM   2720.00   3463.00   3025.50      5.50  15655.00      0.00  14058.00  14056.50     99.99
09:29:24 PM    218.91     89.55   2250.75      0.00   8554.23      0.00   6102.99   6102.99    100.00
09:29:26 PM      0.00      1.51    125.13      0.00    888.94      0.00    416.08    416.08    100.00
09:29:28 PM      0.00     17.91   1251.74      0.00  74714.43      0.00  70566.17  70549.75     99.98
09:29:30 PM      0.00     22.61    213.57      0.00 126496.48      0.00  67095.48  67085.43     99.99
09:29:32 PM      0.00    261.00    447.50      0.00 167648.00      0.00 133545.50 133526.00     99.99
09:29:34 PM      0.00     23.88    153.23      0.00 137955.72      0.00  66297.51  66287.06     99.98
09:29:36 PM      2.01     16.08    692.46      0.50 127588.94      0.00 107812.06 107798.49     99.99
09:29:38 PM      0.00     12.06    328.14      0.00  81516.08      0.00  46114.57  46107.04     99.98
09:29:40 PM      0.00     13.37    176.24      0.00    585.15      0.00      0.00      0.00      0.00
09:29:42 PM      0.00     19.60    124.62      0.00    477.39      0.00      0.00      0.00      0.00
09:29:44 PM      0.00     26.87    141.79      0.00  73744.78      0.00  54728.36  54718.91     99.98
09:29:46 PM      0.00     26.90    142.64      0.00 121278.68      0.00  66589.85  66575.13     99.98
09:29:48 PM      0.00      2.88   1155.77      0.00  84261.06      0.00  56925.00  56905.77     99.97
09:29:50 PM     26.00     14.00    350.50      0.00  21092.00      0.00  15922.50  15920.50     99.99
09:29:52 PM      0.00     14.93    641.29      0.00 120396.02      0.00  57816.92  57807.46     99.98
09:29:54 PM     99.50   1267.16    942.29      0.00 152324.38      0.00 110859.20 110847.76     99.99
09:29:56 PM      0.00      1.50   2120.50      0.00 181183.00      0.00 129058.00 129043.00     99.99
09:29:58 PM      0.00    104.48    745.27      0.00 153332.84      0.00 108566.67 108551.74     99.99
09:30:00 PM      0.00     13.11    228.16      0.00 165965.05      0.00 125569.90 125550.97     99.98
09:30:02 PM   1098.00     38.50   4758.50     15.50  27815.50      0.00  21703.50  21699.50     99.98
09:30:04 PM      0.00     32.00    135.50      0.00  13672.00      0.00   5200.50   5200.00     99.99
09:30:06 PM      0.00      0.00    127.50      0.00    461.50      0.00      0.00      0.00      0.00
