QPS	Commit_PS	Rollback_Commit	Write_Commit	R_W_Ratio	Opens_PS	Table_Cache_Used	Threads_PS	Thread_Cache_Used	CXN_Used_Ever	CXN_Used_Now
134.5	19.19	1	1	0	0	0	0	0	6.1	6.1
134.61	19.21	1	1	0	0	0	0	0	6.1	6.1
134.71	19.22	1	1	0	0	0	0	0	6.1	6.1
134.81	19.24	1	1	0	0	0	0	0	6.2	6.2
134.91	19.25	1	1	0	0	0	0	0	6.2	6.2
135.01	19.27	1	1	0	0	0	0	0	6.2	6.2
135.11	19.28	1	1	0	0	0	0	0	6.2	6.2
135.21	19.3	1	1	0	0	0	0	0	6.2	6.2
135.32	19.31	1	1	0	0	0	0	0	6.2	6.2
135.41	19.32	1	1	0	0	0	0	0	6.2	6.2
135.49	19.33	1	1	0	0	0	0	0	6.2	6.2
135.61	19.35	1	1	0	0	0	0	0	6.2	6.2
135.72	19.37	1	1	0	0	0	0	0	6.2	6.2
135.83	19.38	1	1	0	0	0	0	0	6.2	6.2
135.93	19.4	1	1	0	0	0	0	0	6.2	6.2
136.03	19.41	1	1	0	0	0	0	0	6.2	6.2
136.13	19.43	1	1	0	0	0	0	0	6.2	6.2
136.24	19.44	1	1	0	0	0	0	0	6.2	6.2
136.34	19.46	1	1	0	0	0	0	0	6.2	6.2
136.44	19.47	1	1	0	0	0	0	0	6.2	6.2
136.54	19.48	1	1	0	0	0	0	0	6.2	6.2
136.65	19.5	1	1	0	0	0	0	0	6.2	6.2
136.68	19.5	1	1	0	0	0	0	0	6.2	6.2
136.79	19.52	1	1	0	0	0	0	0	6.2	6.1
136.92	19.54	1	1	0	0	0	0	0	6.2	6.2
136.99	19.55	1	1	0	0	0	0	0	6.2	6.2
137.11	19.57	1	1	0	0	0	0	0	6.2	6.2
137.22	19.58	1	1	0	0	0	0	0	6.2	6.2
137.34	19.6	1	1	0	0	0	0	0	6.2	6.2
137.46	19.62	1	1	0	0	0	0	0	6.2	6.2
137.56	19.63	1	1	0	0	0	0	0	6.2	6.2
