2012-03-30T22:34:30 mysql_thread_id	user	hostname	txn_status	time	undo_log_entries	query_text
2012-03-30T22:34:36 302	espresso	localhost	ACTIVE (PREPARED)	00:00	1	commit
2012-03-30T22:34:39 211	espresso	localhost	ACTIVE	00:00	0	INSERT INTO `ActivityEvent` (`id`,etag, timestamp, val, schema_version) VALUES('413171694','689198529',1333146878895,_binary[BINARY],1) ON DUPLICATE KEY UPDATE etag= '689198529', timestamp = 1333146878895, val = _bi
2012-03-30T22:34:39 226	espresso	localhost	ACTIVE	00:00	0	INSERT INTO `ActivityEvent` (`id`,etag, timestamp, val, schema_version) VALUES('413171881','1775669359',1333146878933,_binary'&5588102356928602112????M????M\0member:43192170\Ztwitter:tweet?Our app pages are the central Portal for new product information, Business Tools, Technical Tips as well as links... http://t.co/l1TvDx6Y\0Facebook(http://t.co/l1TvDx6Y?Facebook helps you connect and share with the people in your life.\0\0\0\0\0\0\0\0\0\0twitter\0\0\0\0\0\0\0\0\0enUS\0\0\0\0,li.verbs.twitter.Tweet\0?{\"is-retweet\":\"false\",\"twitter-shareid\":\"182512180166524928\",\"tw
2012-03-30T22:34:39 228	espresso	localhost	ACTIVE	00:00	0	INSERT INTO `ActivityEvent` (`id`,etag, timestamp, val, schema_version) VALUES('413171687','3629787957',1333146878894,_binary[BINARY],1) ON DUPLICATE KEY UPDATE etag= '3629787957', timestamp = 1333146878894, val = _binary'&5588096069666906112????M????M\0member:61266780\Ztwitter:tweet?Whether B S Yeddyurappa was the Chief
2012-03-30T22:34:39 245	espresso	localhost	ACTIVE	00:00	0	INSERT INTO `ActivityEvent` (`id`,etag, timestamp, val, schema_version) VALUES('413171993','3833523746',1333146878977,_binary[BINARY],1) ON DUPLICATE KEY UPDATE etag= '3833523746', timestamp = 1333146878977, val = _binary'&5588110531627098112????M????M\0member:67031032\Ztwi
2012-03-30T22:34:39 258	espresso	localhost	ACTIVE	00:00	0	INSERT INTO `ActivityEvent` (`id`,etag, timestamp, val, schema_version) VALUES('413171908','2198168518',1333146878938,_binary[BINARY],1) ON DUPLICATE KEY UPDATE etag= '2198168518', timestamp = 1333146878938, val = _binary'&5588111198521434112?????M????
2012-03-30T22:34:39 295	espresso	localhost	ACTIVE	00:00	0	INSERT INTO `ActivityEvent` (`id`,etag, timestamp, val, schema_version) VALUES('413171816','4172398674',1333146878920,_binary[BINARY],1) ON DUPLICATE KEY UPDATE etag= '4172398674', timestamp = 1333146878920, val = _b
2012-03-30T22:34:39 300	espresso	localhost	ACTIVE	00:00	0	INSERT INTO `ActivityEvent` (`id`,etag, timestamp, val, schema_version) VALUES('413171896','2552569008',1333146878936,_binary[BINARY],1) ON DUPLICATE KEY UPDATE etag= '2552569008', timestamp = 1333146878936, val = _b
2012-03-30T22:34:39 302	espresso	localhost	ACTIVE	00:00	0	INSERT INTO `ActivityEvent` (`id`,etag, timestamp, val, schema_version) VALUES('413171852','2326010308',1333146878927,_binary[BINARY]s a Jet... | Facebook(http://t.co/7H3LXU1L?Facebook is a social utility that connects people with friends and others who work, study and live around them. People use Facebook to keep up with friends, upload an unlimited number of photos, post links and videos, and learn...\0\0\0\0\0\0\0\0
2012-03-30T22:34:39 309	espresso	localhost	ACTIVE	00:00	0	INSERT INTO `ActivityEvent` (`id`,etag, timestamp, val, schema_version) VALUES('413171922','3699936835',1333146878941,_binary[BINARY],1) ON DUPLICATE KEY UPDATE etag= '3699936835', timestamp = 1333146878941, val = _bi
2012-03-30T22:34:39 310	espresso	localhost	ACTIVE	00:00	0	INSERT INTO `ActivityEvent` (`id`,etag, timestamp, val, schema_version) VALUES('413171870','3917545164',1333146878932,_binary[BINARY],1) ON DUPLICATE KEY UPDATE etag= '3917545164', timestamp = 1333146878932, val = _
2012-03-30T22:34:39 313	espresso	localhost	ACTIVE	00:00	0	INSERT INTO `ActivityEvent` (`id`,etag, timestamp, val, schema_version) VALUES('413171672','3619414365',1333146878891,_binary[BINARY]ll #run today! http://t.co/T98EaQXb\0\"Coach Opportunity(http://t.co/T98EaQXb?© Product Partners, LLC. All rights reserved. Results may vary. Exercise and proper diet are necessary to achieve and maintain weight loss and muscle definition. Always consult your physician before beginning any exercise...\0\0\0\0\0?http://beach
2012-03-30T22:34:39 318	espresso	localhost	ACTIVE	00:00	0	INSERT INTO `ActivityEvent` (`id`,etag, timestamp, val, schema_version) VALUES('413171971','2315378803',1333146878970,_binary'&5588113421502554112????M????M\0 member:125506058\Ztwitter:tweet?this is just not right they are turning us in to cannibals http://t.co/DfpaXPzL\08Kipnews | Knowledge is power(http://t.co/DfpaXPzL?Tweet Transparent and accessible information gives everyone the power to build a better world. Warning! This Brain food is addictive! This Site is dedicated for Open minded people who want to share Knowledge about Life subjects...\0\0\0\0\0?http://www.kipnews.org/
2012-03-30T22:34:39 320	espresso	localhost	ACTIVE	00:00	0	INSERT INTO `ActivityEvent` (`id`,etag, timestamp, val, schema_version) VALUES('413171711','2999358209',1333146878900,_binary'&5588141036800090112????M????M\0member:45883433\Ztwitter:tweet?Sorry your iPad 2 now looks as old and expendable as Peyton Manning. http://t.co/9YLn72um via @someecards\0?Sorry your iPad 2 now looks as old and expendable as Peyton Manning.(http://t.co/9YLn72um?Free, Funny Somewhat Topical Ecard: Sorry your iPad 2 now looks as old and expendable as Peyton Manning.\0\0\0\0\0?http://cdn.someecards.com/someecards/filestorage/peyton-manning-apple-ipad-colts-so
2012-03-30T22:34:39 321	espresso	localhost	ACTIVE	00:00	0	INSERT INTO `ActivityEvent` (`id`,etag, timestamp, val, schema_version) VALUES('413171957','589822270',1333146878966,_binary[BINARY],1) ON DUPLICATE KEY UPDATE etag= '589822270', timestamp = 1333146878966, val = _binary'&5588099609659482112?????M?????M\0member:68821520\Ztwitter:tweetLLOL Teb
2012-03-30T22:34:39 323	espresso	localhost	ACTIVE	00:00	0	INSERT INTO `ActivityEvent` (`id`,etag, timestamp, val, schema_version) VALUES('413171809','611350257',1333146878919,_binary'&5588108832933978112?????M?????M\0member:22237786\Ztwitter:tweet?2012 Chrysler 300S Custom Car by John Varvatos – For Charity: \nWe applaud John Varvatos for working on this limi... http://t.co/7mHCV4xP\0z2012 Chrysler 300S Custom Car by John Varvatos – For Charity(http://t.co/7mHCV4xP?We applaud John Varvatos for working on this limited edition custom Chrysler 300S – all for a good cause. The 300S is inspired by Varvatos’ collection of things. Pay close att
2012-03-30T22:34:39 328	espresso	localhost	ACTIVE	00:00	0	INSERT INTO `ActivityEvent` (`id`,etag, timestamp, val, schema_version) VALUES('413171889','3277232352',1333146878934,_binary[BINARY],1) ON DUPLICATE KEY UPDATE etag= '3277232352', timestamp = 1333146878934, val = _binary'&5588139581376602112?????M?????M\0 member:113941003\Ztwitter:tweet8@Paris_CM Par
2012-03-30T22:34:39 330	espresso	localhost	ACTIVE	00:00	0	INSERT INTO `ActivityEvent` (`id`,etag, timestamp, val, schema_version) VALUES('413171980','1232283675',1333146878972,_binary[BINARY],1) ON DUPLICATE KEY UPDATE etag= '1232283675', timestamp = 1333146878972, val = _binary'&5588096736561242112????M????M\0member:76587036\Ztwitter:tweetJ@dell
2012-03-30T22:34:39 331	espresso	localhost	ACTIVE	00:00	0	INSERT INTO `ActivityEvent` (`id`,etag, timestamp, val, schema_version) VALUES('413171863','264806307',1333146878929,_binary[BINARY],1) ON DUPLICATE KEY UPDATE etag= '264806307', timestamp = 1333146878929, val = _binary'&5588108090542170112?????M??
2012-03-30T22:34:39 332	espresso	localhost	ACTIVE	00:00	0	INSERT INTO `ActivityEvent` (`id`,etag, timestamp, val, schema_version) VALUES('413171988','1661305220',1333146878975,_binary[BINARY],1) ON DUPLICATE KEY UPDATE etag= '1661305220', timestamp = 1333146878
